"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bahamas, The","BHS","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9762057511.81028","9353829276.42984","8995990870.16526","9023681096.04128","9307829199.57153","9715395965.22558","10125728669.7556","10334570530.4632","10821947387.4727","11595131660.6299","12076240811.145","12393261405.635","12728458348.959","12567503646.1812","12678442051.1332","13108908133.173","13438840203.0417","13633264458.5","13316494572.2697","12760423652.0808","12956728219.4874","13036202737.8372","13438589494.7819","13078572433.7398","13216461976.6181","13246923030.1812","13438213432.3922","13856896226.2225","14276205790.7022","14450071968.8586","",
"Bosnia and Herzegovina","BIH","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6525127784.81397","7882354259.59994","14894312699.0408","20016403359.1416","23138961646.7188","25360301894.3571","26755118626.8386","27932343653.9059","29412758044.4386","30589268281.1944","32455203490.191","35298038123.9394","37209075168.3898","39389198938.9221","41532698796.68","40284867164.7386","40633600876.3111","41023484846.8785","40686338885.412","41642409530.7416","42122900927.8488","43424146483.0078","44791923251.975","46212469927.1137","47940849155.763","49224782196.0828","",
"Belarus","BLR","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90636010185.6982","89548382078.8226","80951736149.1807","74799402710.5413","66047869678.0612","59178890906.9179","60835902604.4492","67771198789.7528","73463973673.54","75961748163.7156","80367532170.3519","84165143985.127","88411500624.1222","94638492857.1568","105474357168.12","115388948348.906","126927837197.965","137843639493.308","151903689949.072","152207490204.709","164077036415.003","172902260196.085","175819355671.141","177583651637.882","180649428903.241","173731331560.254","169342102526.663","173630155305.786","179098111978.7","181286863967.123","",
"Belize","BLZ","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","899858477.267568","1003018580.83454","1123977058.51124","1194514395.93707","1196081969.8598","1203932438.99186","1220990248.46397","1264700885.23625","1311803700.02856","1427040833.33731","1612835269.46252","1688432379.62302","1768293942.15154","1933347632.66861","2025905632.92922","2065448736.70548","2164984931.75013","2176033740.1582","2251921608.43469","2256864496.40673","2324611137.43517","2369290967.92746","2426473397.40783","2458069112.68004","2547428773.66462","2620021383.2931","2622250528.84911","2671291731.08143","2726826531.23779","2734289322.88184","",
"Bermuda","BMU","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3913226388.83793","3774918016.87556","3772662906.91816","3886166006.04261","3909468011.31205","4081451281.37252","4187588440.01463","4380217514.63629","4551046053.54076","4704991862.32914","5143363314.79116","5514839438.89341","5433341672.4931","5618656994.00853","5749080995.23815","5845332520.28045","6169389918.25616","6375764630.20097","6256795678.60925","5904744699.40928","5756956126.27891","5541487978.00699","5247495465.80897","5232817772.57041","5039147649.75544","5078227736.38443","5044853303.55627","5227044136.51153","5204421421.5194","5228356032.22943","",
"Bolivia","BOL","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31491964099.6354","33150497040.4593","33696318957.3832","35134913778.3846","36774755221.3847","38495178513.3927","40174085309.1978","42164393356.0052","44284989258.7436","44474037261.9355","45589360527.6762","46356994608.3348","47509227770.4984","48797364802.6674","50833822455.3281","53081406754.7481","55627726704.8012","58166789068.0384","61743172462.3164","63815891539.1866","66449395947.1298","69907483850.4261","73488337955.1974","78482613663.6339","82768211466.3353","86788418466.2342","90489007925.7654","94285208488.0407","98267460721.3149","100445761200.531","",
"Brazil","BRA","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1567166771268.45","1590861349267.24","1583433407447.08","1657303251755.89","1745712950574.46","1822816401838.41","1863055721496.87","1926303593853.51","1932816385908.83","1941860759886.94","2027068628277.9","2055242782233.93","2117998836677.76","2142161581586","2265549331189.56","2338095197250.74","2430730265271.93","2578272447196.59","2709614684821.37","2706205664409.95","2909934938252.49","3025588131731.76","3083714227756.88","3176375100788.15","3192382625440.2","3079188290952.61","2978316641105.62","3017715870282.25","3057465947938.42","3092216664771.8","",
"Barbados","BRB","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3648937305.7672","3506632150.62414","3307016386.92518","3333243275.58636","3400267546.60937","3468748867.00244","3606682874.0353","3777643333.45631","3918491439.22931","3931604883.5599","4106450807.96775","4009314183.29672","4040883586.3148","4128792231.64208","4187074206.4447","4352692151.50881","4609618523.76368","4711126296.5449","4744152748.93305","4503253919.7489","4400289097.59761","4370662427.07295","4350749419.01538","4289553345.47264","4284210831.11573","4389118385.76044","4497911405.39199","4519281462.81962","4493054574.15844","4488735151.30088","",
"Brunei Darussalam","BRN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18428919884.5686","19008682897.7249","19913226441.082","19973876727.188","20602134525.5171","21524843836.6747","22144397236.8854","21818615159.9052","21696756263.0502","22358975358.8289","22996076889.8896","23627098557.2186","24541962723.8529","25254650394.4204","25382014206.0119","25480371340.6547","26600926645.0082","26642046839.3565","26125267156.9915","25664277532.74","26331283314.8852","27317473701.2105","27566838984.6099","26980760126.4509","26303987537.3725","26200774964.8048","25551541319.6116","25891019749.5614","25904544646.2882","26906819938.6988","",
"Bhutan","BTN","GDP, PPP (constant 2017 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1477849968.77599","1471822173.69275","1539539106.62702","1570120003.93188","1647864547.72592","1764436420.56285","1862630359.38272","1962725111.01172","2078801272.2839","2244772193.68105","2400402785.50963","2600811321.47638","2886699832.15725","3112535088.29575","3299559298.76063","3540006412.38459","3787797589.79803","4483269577.18031","4698442334.64709","5015508904.3698","5614656381.87508","6062852898.98342","6373174013.78458","6508283558.72915","6884234277.35022","7341501096.72828","7938147353.08061","8307416844.22731","8561219214.89645","9029048970.33611","",
